2026-01-05 18:09:24 | INFO | root | Purified data 26, shape: torch.Size([1, 22, 1750]), mse:0.7069915533065796, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:09:24 | INFO | root | 
2026-01-05 18:09:24 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:09:26 | INFO | root | End purification for resolution 256*256, loss=0.34645089507102966, iterations=256
2026-01-05 18:09:27 | INFO | root | End purification for resolution 512*512, loss=0.36157840490341187, iterations=256
2026-01-05 18:09:29 | INFO | root | End purification for resolution 1024*1024, loss=0.400987446308136, iterations=512
2026-01-05 18:09:34 | INFO | root | End purification for resolution 2048*2048, loss=0.41644561290740967, iterations=1024
2026-01-05 18:09:34 | INFO | root | Training time: 9.678164958953857, loss: 0.41644561290740967, params_num: 1175
2026-01-05 18:09:34 | INFO | root | Purified data 27, shape: torch.Size([1, 22, 1750]), mse:0.7821288108825684, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:09:34 | INFO | root | 
2026-01-05 18:09:34 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:09:36 | INFO | root | End purification for resolution 256*256, loss=0.45503953099250793, iterations=256
2026-01-05 18:09:37 | INFO | root | End purification for resolution 512*512, loss=0.39799126982688904, iterations=256
2026-01-05 18:09:39 | INFO | root | End purification for resolution 1024*1024, loss=0.4019370973110199, iterations=512
2026-01-05 18:09:44 | INFO | root | End purification for resolution 2048*2048, loss=0.4082756042480469, iterations=1024
2026-01-05 18:09:44 | INFO | root | Training time: 9.748974084854126, loss: 0.4082756042480469, params_num: 1175
2026-01-05 18:09:44 | INFO | root | Purified data 28, shape: torch.Size([1, 22, 1750]), mse:0.7022397518157959, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:09:44 | INFO | root | 
2026-01-05 18:09:44 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:09:46 | INFO | root | End purification for resolution 256*256, loss=0.38787415623664856, iterations=256
2026-01-05 18:09:47 | INFO | root | End purification for resolution 512*512, loss=0.380149245262146, iterations=256
2026-01-05 18:09:50 | INFO | root | End purification for resolution 1024*1024, loss=0.4043461084365845, iterations=512
2026-01-05 18:09:56 | INFO | root | End purification for resolution 2048*2048, loss=0.4181601405143738, iterations=1024
2026-01-05 18:09:56 | INFO | root | Training time: 11.194118976593018, loss: 0.4181601405143738, params_num: 1175
2026-01-05 18:09:56 | INFO | root | Purified data 29, shape: torch.Size([1, 22, 1750]), mse:0.7412574887275696, compression rate: 0.03051948051948052, 32.765957446808514x
2026-01-05 18:09:56 | INFO | root | 
2026-01-05 18:09:56 | INFO | root | original data shape: torch.Size([1, 22, 1750]), Resized data shape: torch.Size([6, 7, 2048])
2026-01-05 18:09:57 | INFO | root | End purification for resolution 256*256, loss=0.43994104862213135, iterations=256
2026-01-05 18:09:58 | INFO | root | End purification for resolution 512*512, loss=0.37538617849349976, iterations=256
2026-01-05 18:10:01 | INFO | root | End purification for resolution 1024*1024, loss=0.37316271662712097, iterations=512
2026-01-05 18:10:07 | INFO | root | End purification for resolution 2048*2048, loss=0.3783179819583893, iterations=1024
2026-01-05 18:10:07 | INFO | root | Training time: 11.072903633117676, loss: 0.3783179819583893, params_num: 1175
2026-01-05 18:10:07 | INFO | root | Purified data 30, shape: torch.Size([1, 22, 1750]), mse:0.6766918897628784, compression rate: 0.03051948051948052, 32.765957446808514x
