dataset,model,method,attack,scope,rank,metric,seed_count,seeds,status,mean,sample_std
thubenchmark,atcnet,trades,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9565801676475834,0.005644690532826761
thubenchmark,atcnet,trades,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7880577849117175,0.022449783607929857
thubenchmark,atcnet,trades,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9565801676475834,0.005644690532826761
thubenchmark,atcnet,trades,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0007258783663278046,0.0010715687435811064
thubenchmark,atcnet,fbf,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9608658819332977,0.004538843222569767
thubenchmark,atcnet,fbf,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7005216693418941,0.014801392153568592
thubenchmark,atcnet,fbf,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9608658819332977,0.004538843222569767
thubenchmark,atcnet,fbf,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7353237025147138,0.012106306999652846
thubenchmark,atcnet,fbf,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9608658819332977,0.004538843222569767
thubenchmark,atcnet,fbf,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.7034135901551631,0.015056520473138128
thubenchmark,atcnet,fbf,cw,full_test,raw,clean,5,"42,43,44,45,46",complete,0.9608658819332977,0.004538843222569767
thubenchmark,atcnet,fbf,cw,full_test,raw,robust,5,"42,43,44,45,46",complete,0.0,0.0
thubenchmark,atcnet,ea_forward,autoattack,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7819110041020153,0.4211734605076891
thubenchmark,atcnet,ea_forward,autoattack,full_test,raw,robust,5,"42,43,44,45,46",complete,0.26592919564829676,0.14525830982245588
thubenchmark,atcnet,ea_forward,fgsm,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7882174068129124,0.4246954311264021
thubenchmark,atcnet,ea_forward,fgsm,full_test,raw,robust,5,"42,43,44,45,46",complete,0.48405475298733724,0.26880029589319604
thubenchmark,atcnet,ea_forward,pgd,full_test,raw,clean,5,"42,43,44,45,46",complete,0.7882174068129124,0.4246954311264021
thubenchmark,atcnet,ea_forward,pgd,full_test,raw,robust,5,"42,43,44,45,46",complete,0.22623773854110932,0.1267092306660635
