dataset,model,seed,method,attack,scope,rank,metric,value,artifact
thubenchmark,eegnet,45,madry,pgd,full_test,raw,clean,0.9333333333333333,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_pgd.pth
thubenchmark,eegnet,45,madry,pgd,full_test,raw,robust,0.7845238095238095,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_pgd.pth
thubenchmark,eegnet,45,madry,cw,full_test,raw,clean,0.9333333333333333,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_cw.pth
thubenchmark,eegnet,45,madry,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_madry_cw.pth
thubenchmark,eegnet,45,trades,autoattack,full_test,raw,clean,0.9369047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_autoattack.pth
thubenchmark,eegnet,45,trades,autoattack,full_test,raw,robust,0.6726190476190477,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_autoattack.pth
thubenchmark,eegnet,45,trades,fgsm,full_test,raw,clean,0.9369047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_fgsm.pth
thubenchmark,eegnet,45,trades,fgsm,full_test,raw,robust,0.7023809523809523,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_fgsm.pth
thubenchmark,eegnet,45,trades,pgd,full_test,raw,clean,0.9369047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_pgd.pth
thubenchmark,eegnet,45,trades,pgd,full_test,raw,robust,0.6726190476190477,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_pgd.pth
thubenchmark,eegnet,45,trades,cw,full_test,raw,clean,0.9369047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_cw.pth
thubenchmark,eegnet,45,trades,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_trades_cw.pth
thubenchmark,eegnet,45,fbf,autoattack,full_test,raw,clean,0.9476190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_autoattack.pth
thubenchmark,eegnet,45,fbf,autoattack,full_test,raw,robust,0.5785714285714286,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_autoattack.pth
thubenchmark,eegnet,45,fbf,fgsm,full_test,raw,clean,0.9476190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_fgsm.pth
thubenchmark,eegnet,45,fbf,fgsm,full_test,raw,robust,0.6095238095238096,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_fgsm.pth
thubenchmark,eegnet,45,fbf,pgd,full_test,raw,clean,0.9476190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_pgd.pth
thubenchmark,eegnet,45,fbf,pgd,full_test,raw,robust,0.5797619047619048,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_pgd.pth
thubenchmark,eegnet,45,fbf,cw,full_test,raw,clean,0.9476190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_cw.pth
thubenchmark,eegnet,45,fbf,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_fbf_cw.pth
thubenchmark,eegnet,45,ea_forward,autoattack,full_test,raw,clean,0.9642857142857143,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_autoattack.pth
thubenchmark,eegnet,45,ea_forward,autoattack,full_test,raw,robust,0.29285714285714287,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_autoattack.pth
thubenchmark,eegnet,45,ea_forward,fgsm,full_test,raw,clean,0.9654761904761905,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_fgsm.pth
thubenchmark,eegnet,45,ea_forward,fgsm,full_test,raw,robust,0.544047619047619,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_fgsm.pth
thubenchmark,eegnet,45,ea_forward,pgd,full_test,raw,clean,0.9654761904761905,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_pgd.pth
thubenchmark,eegnet,45,ea_forward,pgd,full_test,raw,robust,0.32976190476190476,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_pgd.pth
thubenchmark,eegnet,45,ea_forward,cw,full_test,raw,clean,0.9654761904761905,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_cw.pth
thubenchmark,eegnet,45,ea_forward,cw,full_test,raw,robust,0.0,ad_data/exp031/exp031_full_20260729_174215/thubenchmark_eegnet_seed45_ea_forward_cw.pth
