dataset,model,method,attack,scope,rank,metric,seed,comparison,delta_pp
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,-0.7142857142857117
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,-2.3809523809523725
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,-0.4761904761904856
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,-0.4761904761904745
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,0.0
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,-1.3095238095238049
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,-5.595238095238086
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,-1.3095238095238049
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,45,rpcf_minus_madry,-5.35714285714286
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,45,rpcf_minus_madry,-1.3095238095238049
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,45,rpcf_minus_madry,-5.35714285714286
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,45,rpcf_minus_madry,-1.3095238095238049
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,45,rpcf_minus_madry,0.0
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,clean,46,rpcf_minus_madry,-0.23809523809523725
thubenchmark,conformer,rpcf_at,autoattack,full_test,raw,robust,46,rpcf_minus_madry,2.3809523809523836
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,clean,46,rpcf_minus_madry,-0.23809523809523725
thubenchmark,conformer,rpcf_at,fgsm,full_test,raw,robust,46,rpcf_minus_madry,1.7857142857142905
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,clean,46,rpcf_minus_madry,-0.23809523809523725
thubenchmark,conformer,rpcf_at,pgd,full_test,raw,robust,46,rpcf_minus_madry,0.952380952380949
thubenchmark,conformer,rpcf_at,cw,full_test,raw,clean,46,rpcf_minus_madry,-0.23809523809523725
thubenchmark,conformer,rpcf_at,cw,full_test,raw,robust,46,rpcf_minus_madry,0.0
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,3.1210986267166008
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,0.6242197253433168
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,3.1210986267166008
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,0.9987515605493158
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,3.1210986267166008
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,-0.12484394506866447
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,3.1210986267166008
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,0.12484394506866447
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,-1.0714285714285676
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,1.5476190476190477
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,-1.0714285714285676
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,0.8333333333333304
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,-1.0714285714285676
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,robust,43,rpcf_minus_madry,-0.8333333333333304
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,clean,43,rpcf_minus_madry,-1.0714285714285676
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,robust,43,rpcf_minus_madry,-0.4761904761904762
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,clean,44,rpcf_minus_madry,1.309523809523816
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,robust,44,rpcf_minus_madry,-0.23809523809523725
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,clean,44,rpcf_minus_madry,1.309523809523816
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,robust,44,rpcf_minus_madry,2.0238095238095277
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,clean,44,rpcf_minus_madry,1.309523809523816
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,robust,44,rpcf_minus_madry,0.23809523809523725
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,clean,44,rpcf_minus_madry,1.309523809523816
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,robust,44,rpcf_minus_madry,1.0714285714285712
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,clean,45,rpcf_minus_madry,-1.309523809523816
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,robust,45,rpcf_minus_madry,0.952380952380949
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,clean,45,rpcf_minus_madry,-1.309523809523816
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,robust,45,rpcf_minus_madry,-1.1904761904761973
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,clean,45,rpcf_minus_madry,-1.309523809523816
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,robust,45,rpcf_minus_madry,0.5952380952380931
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,clean,45,rpcf_minus_madry,-1.309523809523816
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,robust,45,rpcf_minus_madry,-0.35714285714285693
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tcnet,rpcf_at,autoattack,full_test,raw,robust,46,rpcf_minus_madry,-1.0714285714285732
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tcnet,rpcf_at,fgsm,full_test,raw,robust,46,rpcf_minus_madry,-0.3571428571428559
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tcnet,rpcf_at,pgd,full_test,raw,robust,46,rpcf_minus_madry,-1.7857142857142905
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,clean,46,rpcf_minus_madry,0.11904761904761862
thubenchmark,tcnet,rpcf_at,cw,full_test,raw,robust,46,rpcf_minus_madry,0.23809523809523794
seediv,eegnet,rpcf_at,autoattack,full_test,raw,clean,42,rpcf_minus_madry,1.1686586985391767
seediv,eegnet,rpcf_at,autoattack,full_test,raw,robust,42,rpcf_minus_madry,-1.0624169986719778
seediv,eegnet,rpcf_at,fgsm,full_test,raw,clean,42,rpcf_minus_madry,1.1686586985391767
seediv,eegnet,rpcf_at,fgsm,full_test,raw,robust,42,rpcf_minus_madry,-1.0092961487383756
seediv,eegnet,rpcf_at,pgd,full_test,raw,clean,42,rpcf_minus_madry,1.1686586985391767
seediv,eegnet,rpcf_at,pgd,full_test,raw,robust,42,rpcf_minus_madry,-0.8764940239043839
seediv,eegnet,rpcf_at,cw,full_test,raw,clean,42,rpcf_minus_madry,1.1686586985391767
seediv,eegnet,rpcf_at,cw,full_test,raw,robust,42,rpcf_minus_madry,0.0
seediv,eegnet,rpcf_at,autoattack,full_test,raw,clean,43,rpcf_minus_madry,0.47808764940239223
seediv,eegnet,rpcf_at,autoattack,full_test,raw,robust,43,rpcf_minus_madry,0.23904382470119612
seediv,eegnet,rpcf_at,fgsm,full_test,raw,clean,43,rpcf_minus_madry,0.47808764940239223
seediv,eegnet,rpcf_at,fgsm,full_test,raw,robust,43,rpcf_minus_madry,0.23904382470119612
seediv,eegnet,rpcf_at,pgd,full_test,raw,clean,43,rpcf_minus_madry,0.47808764940239223
