comparison,dataset,model,method,attack,scope,rank,metric,seed_count,mean_delta_pp,sample_std_pp,positive_seeds
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,cw,full_test,raw,clean,5,-0.19157088122605193,1.2488893496556837,2
rpcf_minus_madry,bciciv2a,eegnet,rpcf_at,cw,full_test,raw,robust,5,-0.07662835249042145,0.17134620517239765,0
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,autoattack,full_test,raw,clean,5,0.11494252873563204,1.303526884000305,2
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,autoattack,full_test,raw,robust,5,-2.452107279693487,0.9127302106951418,0
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,fgsm,full_test,raw,clean,5,0.11494252873563204,1.303526884000305,2
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,fgsm,full_test,raw,robust,5,-3.0651340996168583,1.414255082397835,0
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,pgd,full_test,raw,clean,5,0.11494252873563204,1.303526884000305,2
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,pgd,full_test,raw,robust,5,-3.14176245210728,1.1381954618783872,0
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,cw,full_test,raw,clean,5,0.11494252873563204,1.303526884000305,2
rpcf_minus_madry,bciciv2a,deepconvnet,rpcf_at,cw,full_test,raw,robust,5,0.0,0.0,0
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,autoattack,full_test,raw,clean,5,1.7241379310344833,2.0941773092984155,4
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,autoattack,full_test,raw,robust,5,-2.2605363984674343,0.8820585772583402,0
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,fgsm,full_test,raw,clean,5,1.7241379310344833,2.0941773092984155,4
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,fgsm,full_test,raw,robust,5,-1.5325670498084298,1.6311672764297318,1
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,pgd,full_test,raw,clean,5,1.7241379310344833,2.0941773092984155,4
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,pgd,full_test,raw,robust,5,-1.685823754789273,1.7682729132895523,1
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,cw,full_test,raw,clean,5,1.7241379310344833,2.0941773092984155,4
rpcf_minus_madry,bciciv2a,tsception,rpcf_at,cw,full_test,raw,robust,5,-5.593869731800766,6.952729896768959,1
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,autoattack,full_test,raw,clean,5,0.4597701149425282,1.3721076306107267,3
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,autoattack,full_test,raw,robust,5,-2.6053639846743293,1.0009463967519638,0
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,fgsm,full_test,raw,clean,5,0.4597701149425282,1.3721076306107267,3
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,fgsm,full_test,raw,robust,5,-3.984674329501915,0.696011575654596,0
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,pgd,full_test,raw,clean,5,0.4597701149425282,1.3721076306107267,3
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,pgd,full_test,raw,robust,5,-3.9080459770114944,0.6580675876366909,0
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,cw,full_test,raw,clean,5,0.4597701149425282,1.3721076306107267,3
rpcf_minus_madry,bciciv2a,atcnet,rpcf_at,cw,full_test,raw,robust,5,-0.03831417624521073,0.24977786993113593,1
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,autoattack,full_test,raw,clean,5,-0.1915708812260531,3.1156045914349795,3
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,autoattack,full_test,raw,robust,5,-6.590038314176246,2.368051669021064,0
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,fgsm,full_test,raw,clean,5,-0.1915708812260531,3.1156045914349795,3
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,fgsm,full_test,raw,robust,5,-8.582375478927203,2.528445356612478,0
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,pgd,full_test,raw,clean,5,-0.1915708812260531,3.1156045914349795,3
rpcf_minus_madry,bciciv2a,conformer,rpcf_at,pgd,full_test,raw,robust,5,-9.157088122605364,3.2606467018094194,0
